Unnamed: 0,Enter your name,Enter your email id,What  Age Group do you fall in,Kindly mention your gender,Do you currently own a two-wheeler?,"According to your age group, which bike type is most suitable?  ",Why do you think this type of bike suits your age group best? ,Best bike type for Below 20 years (students/young riders):,Best bike type for 21–30 years (working professionals/young adults):,Best bike type for 31–40 years (family-oriented riders):,  Best bike type for 41–50 years (mid-age riders):,Best bike type for 51 years & above (senior riders):,"When choosing a bike, which feature is most important to you?  ",What price range is affordable for your age group?  ,Do you think electric bikes are a good option for your age group?  ,Timestamp,"According to your age group, which bike type is most suitable?","When choosing a bike, which feature is most important to you?",What price range is affordable for your age group?,Do you think electric bikes are a good option for your age group?
Unknown,Amal Raj,raj.amal76@gmail.com,41-50 Years,Male,Yes – Commuter (100–150cc),"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,Entry-level Sports (150cc),Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)","Commuter (fuel-efficient, reliable)",Lightweight Scooter,Comfort,"₹1,00,000–₹1,50,000",No – Lack of charging/service support,01-07-2025 17:55,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Stella,swetha@msgrafix.in,41-50 Years,Female,Yes – Scooter (gearless),"Electric Bike (eco-friendly, modern)",Eco-friendliness (Electric option),Higher power Bikes(200cc and above),"Commuter (150–200cc, mileage + performance balance)",Electric bike (eco-friendly + low maintenance),Electric Bike,Lightweight Scooter,Mileage / Fuel efficiency,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly,01-07-2025 17:55,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Niranjan P ,niranjanp05022005@gmail.com,21-30 Years,Male,No,Sports Bike (performance-oriented),Performance & Speed,Electric bike/scooter,Sports Bike (200–400cc),Cruiser / Touring bike (comfort + mileage),Scooter (easy and safe to ride),Electric Scooter/Bike,Performance (Speed / Pickup),"₹1,00,000–₹1,50,000",Not sure,01-07-2025 17:55,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Ruban,ruban.oss14@gmail.com,31-40 Years,Male,Yes – Scooter (gearless),"Commuter (100–150cc, mileage-focused)",Mileage / Fuel efficiency,"Scooter (lightweight, gearless)","Commuter (150–200cc, mileage + performance balance)",Cruiser / Touring bike (comfort + mileage),Scooter (easy and safe to ride),Lightweight Scooter,Mileage / Fuel efficiency,"₹1,00,000–₹1,50,000",Not sure,01-07-2025 17:55,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Mike,michael.donecard@gmail.com,41-50 Years,Male,Yes – Scooter (gearless),"Scooter (gearless, lightweight)",Comfort & Ease of riding,"Commuter bike (100–125cc, high mileage)","Commuter (150–200cc, mileage + performance balance)",Cruiser / Touring bike (comfort + mileage),Scooter (easy and safe to ride),Electric Scooter/Bike,Mileage / Fuel efficiency,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly,01-07-2025 17:55,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,AKASH,akash9380kj@gmail.com,21-30 Years,Male,Yes – Commuter (100–150cc),Sports Bike (performance-oriented),Performance & Speed,Entry-level Sports (150cc),Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Cruiser (comfortable for long rides),Lightweight Scooter,Performance (Speed / Pickup),"Above ₹1,50,000",No – Lack of charging/service support,01-07-2025 17:55,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,PRIYANKA SRINIVASAN ,priyanka.schendamarai@gmail.com,Below 20 years,Female,No,"Scooter (gearless, lightweight)",Comfort & Ease of riding,"Scooter (lightweight, gearless)","Commuter (150–200cc, mileage + performance balance)","Scooter (for family use, gearless)",Scooter (easy and safe to ride),Lightweight Scooter,Mileage / Fuel efficiency,"Below ₹70,000",Not sure,01-07-2025 17:55,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Rishi Chowdari K ,rshkrnm@gmail.com,21-30 Years,Male,Yes – Scooter (gearless),Cruiser (comfortable for long rides),Comfort & Ease of riding,"Commuter bike (100–125cc, high mileage)",Cruiser (comfortable for city + touring),"Scooter (for family use, gearless)",Cruiser (comfortable for long rides),Electric Scooter/Bike,"Safety (Brakes, ABS, handling)","Above ₹1,50,000","Yes – Good for city rides, but not long tours",01-07-2025 17:55,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Antony Rajan ,Antonyrajanit@gmail.com,31-40 Years,Male,No,Cruiser (comfortable for long rides),Mileage / Fuel efficiency,Entry-level Sports (150cc),Cruiser (comfortable for city + touring),Cruiser / Touring bike (comfort + mileage),Scooter (easy and safe to ride),Lightweight Scooter,Mileage / Fuel efficiency,"Below ₹70,000","Yes – Good for city rides, but not long tours",01-07-2025 17:55,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Nirvan M,nirvanm67@gmail.com,21-30 Years,Male,Yes – Cruiser,Cruiser (comfortable for long rides),Performance & Speed,Higher power Bikes(200cc and above),Cruiser (comfortable for city + touring),Cruiser / Touring bike (comfort + mileage),"Commuter (fuel-efficient, reliable)",Lightweight Scooter,Performance (Speed / Pickup),"₹70,000–₹1,00,000","Yes – Good for city rides, but not long tours",01-07-2025 17:55,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Shashank BG,shashidruva26/@gmail.com,21-30 Years,Male,No,Cruiser (comfortable for long rides),Comfort & Ease of riding,"Commuter bike (100–125cc, high mileage)",Sports Bike (200–400cc),Electric bike (eco-friendly + low maintenance),Scooter (easy and safe to ride),Lightweight Scooter,Performance (Speed / Pickup),"₹1,00,000–₹1,50,000",No – Lack of charging/service support,01-07-2025 17:55,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Amulya V,amulyavijai2005@gmail ,21-30 Years,Female,No,"Scooter (gearless, lightweight)",Mileage / Fuel efficiency,"Commuter bike (100–125cc, high mileage)",Cruiser (comfortable for city + touring),Cruiser / Touring bike (comfort + mileage),Cruiser (comfortable for long rides),Electric Scooter/Bike,Mileage / Fuel efficiency,"Below ₹70,000",Yes – Affordable and eco-friendly,01-07-2025 17:55,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Celeena William,celeenwilliam@gmail.com,41-50 Years,Female,No,"Scooter (gearless, lightweight)",Comfort & Ease of riding,Higher power Bikes(200cc and above),"Commuter (150–200cc, mileage + performance balance)",Electric bike (eco-friendly + low maintenance),Cruiser (comfortable for long rides),Electric Scooter/Bike,Comfort,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly,01-07-2025 17:55,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Sowmya,sowmyaraman92@gmail.com,31-40 Years,Female,Yes – Scooter (gearless),"Scooter (gearless, lightweight)",Comfort & Ease of riding,Electric bike/scooter,"Commuter (150–200cc, mileage + performance balance)","Commuter (125–150cc, cost-effective)","Commuter (fuel-efficient, reliable)",Electric Scooter/Bike,"Safety (Brakes, ABS, handling)","₹70,000–₹1,00,000",No – Lack of charging/service support,01-07-2025 17:55,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,P. S. Pushpa Theresr,Pushpapspt70@gmail.com,51 Years and above,Female,No,"Electric Bike (eco-friendly, modern)",Eco-friendliness (Electric option),"Commuter bike (100–125cc, high mileage)",Cruiser (comfortable for city + touring),"Scooter (for family use, gearless)",Scooter (easy and safe to ride),Lightweight Scooter,"Safety (Brakes, ABS, handling)","Below ₹70,000","Yes – Good for city rides, but not long tours",01-07-2025 17:55,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Mary Cecilia P S ,cecilia.srinivas@gmail.com,41-50 Years,Female,Yes – Commuter (100–150cc),"Commuter (100–150cc, mileage-focused)",Mileage / Fuel efficiency,"Scooter (lightweight, gearless)",Cruiser (comfortable for city + touring),Cruiser / Touring bike (comfort + mileage),"Commuter (fuel-efficient, reliable)",Lightweight Scooter,Mileage / Fuel efficiency,"₹70,000–₹1,00,000",No – Lack of charging/service support,01-07-2025 17:55,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Mona ,Mona.crystal777@gmail.com,31-40 Years,Female,Yes – Scooter (gearless),"Electric Bike (eco-friendly, modern)",Safety features,"Scooter (lightweight, gearless)","Commuter (150–200cc, mileage + performance balance)","Scooter (for family use, gearless)",Electric Bike,Lightweight Scooter,"Safety (Brakes, ABS, handling)","Above ₹1,50,000","Yes – Good for city rides, but not long tours",01-07-2025 17:55,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,A.Antonycruz,arockiacruz@gmail.com,51 Years and above,Male,Yes – Scooter (gearless),"Scooter (gearless, lightweight)",Mileage / Fuel efficiency,Entry-level Sports (150cc),Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)","Commuter (fuel-efficient, reliable)",Lightweight Scooter,Mileage / Fuel efficiency,"₹1,00,000–₹1,50,000",Not sure,01-07-2025 17:55,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,William  Alexander ,wa9696@gmail.com,41-50 Years,Male,Yes – Commuter (100–150cc),"Electric Bike (eco-friendly, modern)",Mileage / Fuel efficiency,"Commuter bike (100–125cc, high mileage)","Commuter (150–200cc, mileage + performance balance)","Scooter (for family use, gearless)",Scooter (easy and safe to ride),Electric Scooter/Bike,Mileage / Fuel efficiency,"₹70,000–₹1,00,000",Yes – Affordable and eco-friendly,01-07-2025 17:55,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,P.S.Lourdu Marie,lourdumarie1971@gmail.com,51 Years and above,Female,No,"Scooter (gearless, lightweight)",Comfort & Ease of riding,Entry-level Sports (150cc),Cruiser (comfortable for city + touring),"Scooter (for family use, gearless)",Scooter (easy and safe to ride),Simple Commuter Bike (100–125cc),"Safety (Brakes, ABS, handling)","Below ₹70,000","Yes – Good for city rides, but not long tours",01-07-2025 17:55,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Simran Paul,simranpaul@gmail.com,21-30 Years,Female,Yes – Sports Bike,"Electric Bike (eco-friendly, modern)",Performance & Speed,Higher power Bikes(200cc and above),Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Lightweight Scooter,Maintenance cost,"₹70,000–₹1,00,000",No – Lack of charging/service support,01-07-2025 17:55,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Rahul Mehta,rahulmehta@gmail.com,Below 20 years,Prefer not to say,Yes – Commuter (100–150cc),"Scooter (gearless, lightweight)",Performance & Speed,Entry-level Sports (150cc),Cruiser (comfortable for city + touring),Cruiser / Touring bike (comfort + mileage),Electric Bike,Simple Commuter Bike (100–125cc),Stylish design,"₹1,00,000–₹1,50,000",Not sure,01-07-2025 17:55,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Aditi Rao,aditirao@gmail.com,41-50 Years,Prefer not to say,Yes – Sports Bike,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,Entry-level Sports (150cc),Cruiser (comfortable for city + touring),Electric bike (eco-friendly + low maintenance),Electric Bike,Electric Scooter/Bike,Performance (Speed / Pickup),"Above ₹1,50,000",Not sure,01-07-2025 17:55,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Tanya Sinha,tanyasinha@gmail.com,Below 20 years,Male,Yes – Commuter (100–150cc),Cruiser (comfortable for long rides),Safety features,Higher power Bikes(200cc and above),"Commuter (150–200cc, mileage + performance balance)",Electric bike (eco-friendly + low maintenance),Electric Bike,Simple Commuter Bike (100–125cc),Stylish design,"Below ₹70,000",Not sure,01-07-2025 17:55,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Neha Gupta,nehagupta@gmail.com,Below 20 years,Prefer not to say,Yes – Cruiser,"Electric Bike (eco-friendly, modern)",Low maintenance cost,"Scooter (lightweight, gearless)","Commuter (150–200cc, mileage + performance balance)",Cruiser / Touring bike (comfort + mileage),Electric Bike,Electric Scooter/Bike,Mileage / Fuel efficiency,"₹1,00,000–₹1,50,000","Yes – Good for city rides, but not long tours",01-07-2025 17:55,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Abhinav Pillai,abhinavpillai@gmail.com,51 Years and above,Male,Yes – Commuter (100–150cc),Cruiser (comfortable for long rides),Stylish design / Looks,Electric bike/scooter,"Commuter (150–200cc, mileage + performance balance)","Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,"Safety (Brakes, ABS, handling)","₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly,01-07-2025 17:55,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Deepak Sharma,deepaksharma@gmail.com,41-50 Years,Prefer not to say,Yes – Commuter (100–150cc),Cruiser (comfortable for long rides),Eco-friendliness (Electric option),"Commuter bike (100–125cc, high mileage)","Commuter (150–200cc, mileage + performance balance)",Electric bike (eco-friendly + low maintenance),Scooter (easy and safe to ride),Lightweight Scooter,Stylish design,"₹70,000–₹1,00,000",No – Too costly compared to fuel bikes,01-07-2025 17:55,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Pooja Chauhan,poojachauhan@gmail.com,31-40 Years,Male,Yes – Sports Bike,"Electric Bike (eco-friendly, modern)",Performance & Speed,Electric bike/scooter,"Commuter (150–200cc, mileage + performance balance)",Cruiser / Touring bike (comfort + mileage),Scooter (easy and safe to ride),Simple Commuter Bike (100–125cc),Performance (Speed / Pickup),"Above ₹1,50,000","Yes – Good for city rides, but not long tours",01-07-2025 17:55,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Sahil Khanna,sahilkhanna@gmail.com,21-30 Years,Female,Yes – Sports Bike,Cruiser (comfortable for long rides),Stylish design / Looks,Higher power Bikes(200cc and above),Cruiser (comfortable for city + touring),Cruiser / Touring bike (comfort + mileage),Cruiser (comfortable for long rides),Simple Commuter Bike (100–125cc),Performance (Speed / Pickup),"₹70,000–₹1,00,000",No – Lack of charging/service support,01-07-2025 17:55,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Aditya Dubey,adityadubey@gmail.com,Below 20 years,Male,Yes – Cruiser,Sports Bike (performance-oriented),Stylish design / Looks,Entry-level Sports (150cc),Sports Bike (200–400cc),Cruiser / Touring bike (comfort + mileage),Cruiser (comfortable for long rides),Electric Scooter/Bike,Stylish design,"₹70,000–₹1,00,000",Yes – Affordable and eco-friendly,01-07-2025 17:55,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Tanya Sinha,tanyasinha@gmail.com,51 Years and above,Male,Yes – Commuter (100–150cc),"Scooter (gearless, lightweight)",Performance & Speed,Entry-level Sports (150cc),Sports Bike (200–400cc),Cruiser / Touring bike (comfort + mileage),Cruiser (comfortable for long rides),Electric Scooter/Bike,Comfort,"Below ₹70,000",Not sure,01-07-2025 17:55,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Amit Kumar,amitkumar@gmail.com,Below 20 years,Prefer not to say,Yes – Cruiser,"Commuter (100–150cc, mileage-focused)",Low maintenance cost,Entry-level Sports (150cc),Sports Bike (200–400cc),Electric bike (eco-friendly + low maintenance),"Commuter (fuel-efficient, reliable)",Simple Commuter Bike (100–125cc),Stylish design,"₹70,000–₹1,00,000",No – Lack of charging/service support,01-07-2025 17:55,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Nikhil Shetty,nikhilshetty@gmail.com,21-30 Years,Prefer not to say,Yes – Sports Bike,"Commuter (100–150cc, mileage-focused)",Eco-friendliness (Electric option),Entry-level Sports (150cc),Cruiser (comfortable for city + touring),"Commuter (125–150cc, cost-effective)",Electric Bike,Simple Commuter Bike (100–125cc),Performance (Speed / Pickup),"₹70,000–₹1,00,000","Yes – Good for city rides, but not long tours",01-07-2025 17:55,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Sreeja Menon,sreejamenon@gmail.com,31-40 Years,Female,No,"Scooter (gearless, lightweight)",Safety features,Entry-level Sports (150cc),Sports Bike (200–400cc),Electric bike (eco-friendly + low maintenance),"Commuter (fuel-efficient, reliable)",Lightweight Scooter,Mileage / Fuel efficiency,"Below ₹70,000","Yes – Good for city rides, but not long tours",01-07-2025 17:55,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Abhinav Pillai,abhinavpillai@gmail.com,31-40 Years,Male,Yes – Electric Bike,Sports Bike (performance-oriented),Stylish design / Looks,Entry-level Sports (150cc),Cruiser (comfortable for city + touring),Electric bike (eco-friendly + low maintenance),Electric Bike,Simple Commuter Bike (100–125cc),Comfort,"Above ₹1,50,000",No – Lack of charging/service support,01-07-2025 17:55,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Abhinav Pillai,abhinavpillai@gmail.com,Below 20 years,Female,Yes – Scooter (gearless),"Commuter (100–150cc, mileage-focused)",Stylish design / Looks,Entry-level Sports (150cc),Electric Bike,"Scooter (for family use, gearless)",Electric Bike,Simple Commuter Bike (100–125cc),Maintenance cost,"₹1,00,000–₹1,50,000",Not sure,01-07-2025 17:55,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Devansh Tiwari,devanshtiwari@gmail.com,51 Years and above,Female,Yes – Electric Bike,"Electric Bike (eco-friendly, modern)",Safety features,Higher power Bikes(200cc and above),"Commuter (150–200cc, mileage + performance balance)","Commuter (125–150cc, cost-effective)",Scooter (easy and safe to ride),Simple Commuter Bike (100–125cc),"Safety (Brakes, ABS, handling)","Above ₹1,50,000",Not sure,01-07-2025 17:55,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Abhinav Pillai,abhinavpillai@gmail.com,41-50 Years,Prefer not to say,Yes – Scooter (gearless),"Electric Bike (eco-friendly, modern)",Mileage / Fuel efficiency,"Commuter bike (100–125cc, high mileage)",Cruiser (comfortable for city + touring),Electric bike (eco-friendly + low maintenance),Electric Bike,Lightweight Scooter,Performance (Speed / Pickup),"Above ₹1,50,000","Yes – Good for city rides, but not long tours",01-07-2025 17:55,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Vikram Singh,vikramsingh@gmail.com,21-30 Years,Prefer not to say,Yes – Scooter (gearless),"Scooter (gearless, lightweight)",Performance & Speed,Higher power Bikes(200cc and above),"Commuter (150–200cc, mileage + performance balance)","Commuter (125–150cc, cost-effective)",Electric Bike,Simple Commuter Bike (100–125cc),Stylish design,"Above ₹1,50,000",No – Lack of charging/service support,01-07-2025 17:55,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Nikhil Shetty,nikhilshetty@gmail.com,31-40 Years,Prefer not to say,No,Cruiser (comfortable for long rides),Low maintenance cost,Electric bike/scooter,Sports Bike (200–400cc),Electric bike (eco-friendly + low maintenance),Scooter (easy and safe to ride),Simple Commuter Bike (100–125cc),Maintenance cost,"₹70,000–₹1,00,000",No – Too costly compared to fuel bikes,01-07-2025 17:55,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
